1	10
2	11
3	14
4	8
5	11
6	10
7	8
8	6
9	14
10	5
11	12
12	6
13	8
14	13
15	10
16	6
17	10
18	14
19	8
20	10
21	8
22	14
23	15
24	7
25	14
26	11
27	7
28	11
29	12
30	6
31	7
32	9
33	10
34	5
35	10
36	12
37	6
38	7
39	11
40	15
41	8
42	8
43	9
44	14
45	16
46	6
47	7
48	15
49	7
50	12
51	13
52	20
53	11
54	11
55	6
56	13
57	9
58	10
59	11
60	7
61	9
62	8
63	5
64	9
65	12
66	5
67	11
68	6
69	13
70	8
71	5
72	13
73	11
74	11
75	9
76	8
77	10
78	6
79	8
80	13
81	6
82	10
83	13
84	7
85	15
86	12
87	8
88	7
89	10
90	8
91	5
92	7
93	6
94	11
95	12
96	8
97	9
98	5
99	8
100	15
101	5
102	12
103	8
104	10
105	11
106	14
107	7
108	10
109	8
110	12
111	9
112	10
113	7
114	8
115	6
116	6
117	11
118	10
119	13
120	12
121	9
122	8
123	8
124	10
125	15
126	9
127	14
128	6
129	6
130	7
131	9
132	17
133	12
134	8
135	6
136	11
137	8
138	14
139	11
140	10
141	12
142	12
143	6
144	9
145	7
146	9
147	4
148	14
149	11
150	8
151	8
152	14
153	8
154	16
155	18
156	15
157	9
158	8
159	10
160	13
161	11
162	7
163	5
164	8
165	6
166	7
167	13
168	10
169	6
170	11
171	6
172	10
173	11
174	10
175	17
176	13
177	16
178	11
179	8
180	12
181	12
182	11
183	17
184	17
185	17
186	13
187	8
188	11
189	9
190	9
191	7
192	11
193	12
194	8
195	14
196	5
197	4
198	22
199	14
200	16
201	17
202	12
203	12
204	9
205	12
206	7
207	9
208	17
209	11
210	14
211	9
212	11
213	17
214	12
215	11
216	11
217	8
218	11
219	11
220	18
221	11
222	10
223	14
224	7
225	7
226	5
227	8
228	7
229	11
230	10
231	7
232	10
233	10
234	7
235	13
236	8
237	9
238	12
239	8
240	5
241	9
242	15
243	9
244	12
245	12
246	15
247	9
248	7
249	7
250	8
251	7
252	7
253	10
254	9
255	7
256	7
257	9
